ID;Date Entry;Date Exit;Dias;Account;Strategy;Asset Type;Symbol;Side;Quantity;Risk[USD];Price Entry;Target Exit;Stoploss;Retorno;Spread;Risk/Reward;State;Total
1;11/12/2017 17:00;15/02/2018 17:00;66.00;54541;W1;FOREX;NZD_CAD;Long;10000;3000;0.88873;0.92532;0.86389; $ 4,419.08 ;8.54;1.473027375;Closed; $ 104,419.08
2;27/12/2017 17:00;13/03/2018 17:00;76.00;54541;W1;FOREX;AUD_CAD;Long;10000;3000;0.98331;1.01667;0.96479; $ 5,403.89 ;3.12;1.801295896;Closed; $ 109,822.97
3;29/12/2017 13:00;5/01/2018 4:00;6.63;54541;W1;FOREX;AUD_CAD;Long;50000;3000;0.98244;0.97726;0.97726;-$ 3,000.00 ;8.18;-1;Closed; $ 106,822.97
4;12/01/2018 1:00;2/02/2018 1:00;21.00;54541;W1;FOREX;EUR_AUD;Long;10000;3000;1.53915;1.5633;1.5153; $ 3,037.74 ;6.9;1.012578616;Closed; $ 109,860.71
5;12/01/2018 17:00;26/01/2018 17:00;14.00;54541;D1;FOREX;AUD_NZD;Long;10000;3000;1.09199;1.10365;1.0842; $ 4,490.37 ;8.65;1.496790757;Closed; $ 114,351.08
6;24/01/2018 9:00;5/02/2018 13:00;12.17;54541;D1;FOREX;AUD_JPY;Short;10000;3000;87.985;86.067;88.794; $ 7,112.48 ;8.79;2.370828183;Closed; $ 121,463.56
7;1/02/2018 13:00;5/02/2018 5:00;3.67;54541;W1;FOREX;GBP_CHF;Short;10000;3000;1.32147;1.30823;1.33169; $ 3,886.50 ;9.88;1.295499022;Closed; $ 125,350.06
8;2/02/2018 17:00;21/02/2018 17:00;19.00;54541;D1;FOREX;USD_CAD;Long;10000;3000;1.24209;1.26937;1.22391; $ 4,501.65 ;6.7;1.500550055;Closed; $ 129,851.71
9;26/02/2018 9:00;28/02/2018 1:00;1.67;54541;W1;FOREX;AUD_NZD;Long;10000;3000;1.07385;1.07951;1.07008; $ 4,503.98 ;5.64;1.50132626;Closed; $ 134,355.69
10;27/02/2018 17:00;21/05/2018 17:00;83.00;54541;D1;FOREX;EUR_USD;Short;10000;3000;1.22354;1.17388;1.25656; $ 4,511.81 ;6.79;1.503937008;Closed; $ 138,867.50
11;28/02/2018 17:00;16/04/2018 17:00;47.00;54541;D1;FOREX;GBP_USD;Short;10000;3000;1.37458;1.42836;1.42836;-$ 3,000.00 ;1.93;-1;Closed; $ 135,867.50
12;6/03/2018 17:00;9/03/2018 17:00;3.00;54541;W1;FOREX;EUR_GBP;Long;10000;3000;0.89346;0.90292;0.8875; $ 4,761.74 ;2.29;1.587248322;Closed; $ 140,629.24
